Name,votes,rf,svm,lr
lh_S_orbital_med-olfact,6,5,1,0
lh_Pole_occipital,10,8,0,2
lh_G_temporal_inf,1000,0,0,0
rh_G_temp_sup-Plan_tempo,1000,0,0,0
rh_G_front_middle,1000,0,0,0
lh_S_oc_middle_and_Lunatus,1000,0,0,0
rh_S_oc-temp_med_and_Lingual,1000,0,0,0
rh_G_front_sup,1000,0,0,0
lh_G_front_middle,1000,0,0,0
rh_G_and_S_cingul-Ant,1000,0,0,0
lh_G_oc-temp_med-Lingual,1000,0,0,0
lh_S_circular_insula_sup,1000,0,0,0
lh_G_pariet_inf-Angular,1000,0,0,0
rh_G_occipital_sup,1000,0,0,0
lh_G_temp_sup-Lateral,1000,0,0,0
rh_S_front_middle,1000,0,0,0
rh_S_pericallosal,1000,0,0,0
lh_S_parieto_occipital,1000,0,0,0
rh_G_occipital_middle,1000,0,0,0
lh_G_oc-temp_med-Parahip,1000,0,0,0
lh_S_suborbital,1000,0,0,0
rh_S_front_inf,1000,0,0,0
rh_G_Ins_lg_and_S_cent_ins,1000,0,0,0
rh_G_and_S_cingul-Mid-Ant,1000,0,0,0
rh_G_cingul-Post-ventral,1000,0,0,0
lh_S_occipital_ant,1000,0,0,0
lh_S_calcarine,1000,0,0,0
lh_S_pericallosal,1000,0,0,0
lh_Pole_temporal,1000,0,0,0
rh_G_postcentral,1000,0,0,0
lh_G_and_S_subcentral,1000,0,0,0
rh_S_circular_insula_inf,1000,0,0,0
lh_G_postcentral,1000,0,0,0
lh_G_cingul-Post-ventral,1000,0,0,0
rh_Lat_Fis-ant-Horizont,1000,0,0,0
lh_S_intrapariet_and_P_trans,1000,0,0,0
rh_S_orbital-H_Shaped,1000,0,0,0
lh_G_front_inf-Opercular,1000,0,0,0
rh_G_rectus,1000,0,0,0
rh_S_calcarine,1000,0,0,0
rh_S_parieto_occipital,1000,0,0,0
rh_S_collat_transv_post,1000,0,4,0
lh_G_and_S_paracentral,1000,0,0,0
lh_S_central,1000,0,0,0
lh_S_cingul-Marginalis,1000,0,0,0
rh_S_occipital_ant,1000,0,0,0
lh_S_collat_transv_ant,1000,0,0,0
rh_G_front_inf-Orbital,1000,0,0,0
lh_S_collat_transv_post,1000,0,0,0
lh_G_insular_short,1000,0,0,0
rh_S_orbital_med-olfact,1000,0,0,0
rh_G_insular_short,1000,0,0,0
rh_Pole_temporal,1000,0,0,0
rh_S_precentral-sup-part,1000,0,0,0
lh_S_front_middle,1000,0,0,0
rh_G_temporal_inf,1000,0,0,0
rh_S_front_sup,1000,0,0,0
lh_G_oc-temp_lat-fusifor,1000,0,0,0
rh_S_central,1000,0,0,0
lh_S_oc-temp_lat,1000,0,0,0
rh_G_precentral,1000,0,0,0
rh_G_parietal_sup,1000,0,0,0
lh_G_and_S_occipital_inf,1000,0,0,0
lh_G_precentral,1000,0,0,0
lh_G_and_S_transv_frontopol,1000,0,0,0
lh_S_oc-temp_med_and_Lingual,1000,0,0,0
rh_G_pariet_inf-Supramar,1000,0,0,0
rh_S_precentral-inf-part,1000,0,0,0
rh_G_cuneus,1000,0,0,0
rh_S_suborbital,1000,0,0,0
rh_G_front_inf-Opercular,1000,0,0,0
lh_G_Ins_lg_and_S_cent_ins,1000,0,0,0
lh_G_and_S_cingul-Mid-Ant,1000,0,0,0
lh_S_circular_insula_ant,1000,0,0,0
rh_G_and_S_cingul-Mid-Post,1000,0,0,0
lh_S_subparietal,1000,0,0,0
rh_G_orbital,1000,0,0,0
lh_G_orbital,1000,0,0,0
lh_S_temporal_transverse,1000,0,0,0
lh_S_front_sup,1000,0,0,0
rh_G_precuneus,1000,0,0,0
rh_S_cingul-Marginalis,1000,0,0,0
rh_S_interm_prim-Jensen,1000,0,0,0
lh_G_front_inf-Triangul,1000,0,0,0
rh_G_and_S_paracentral,1000,0,0,0
rh_S_collat_transv_ant,1000,0,0,0
lh_Lat_Fis-ant-Horizont,1000,0,0,0
rh_G_oc-temp_med-Lingual,1000,0,0,0
lh_S_postcentral,1000,0,0,0
lh_Lat_Fis-post,1000,0,0,0
rh_S_postcentral,1000,0,0,0
rh_G_temporal_middle,1000,1,0,0
lh_S_temporal_sup,1000,4,0,0
lh_G_front_sup,1000,6,0,0
lh_G_rectus,1000,7,0,0
rh_S_temporal_sup,1000,9,0,0
lh_G_temporal_middle,1000,10,0,0
lh_G_occipital_sup,1000,0,0,0
lh_G_and_S_cingul-Ant,1000,12,0,0
rh_G_and_S_occipital_inf,1000,0,0,0
rh_S_orbital_lateral,1000,0,0,0
lh_S_interm_prim-Jensen,1000,0,0,0
lh_G_and_S_cingul-Mid-Post,1000,0,0,0
rh_G_temp_sup-Lateral,1000,0,0,0
lh_S_orbital-H_Shaped,1000,0,0,0
lh_S_oc_sup_and_transversal,1000,0,0,0
lh_G_cingul-Post-dorsal,1000,0,0,0
lh_S_orbital_lateral,1000,0,0,0
rh_G_and_S_frontomargin,1000,0,0,0
rh_S_circular_insula_sup,1000,0,0,0
lh_G_temp_sup-Plan_tempo,1000,0,0,0
lh_S_precentral-inf-part,1000,0,0,0
lh_G_occipital_middle,1000,0,0,0
lh_G_subcallosal,1000,0,0,0
lh_G_temp_sup-G_T_transv,1000,0,0,0
rh_G_front_inf-Triangul,1000,0,0,0
rh_S_oc_sup_and_transversal,1000,0,0,0
rh_S_oc_middle_and_Lunatus,1000,0,0,0
lh_G_pariet_inf-Supramar,1000,0,0,0
rh_G_and_S_transv_frontopol,1000,0,0,0
lh_S_circular_insula_inf,1000,0,0,0
lh_S_temporal_inf,1000,0,0,0
rh_S_temporal_transverse,1000,0,0,0
lh_G_front_inf-Orbital,1000,0,0,0
lh_G_precuneus,1000,0,0,0
rh_S_subparietal,1000,0,0,0
lh_S_front_inf,1000,0,0,0
rh_G_temp_sup-Plan_polar,1000,0,0,0
rh_G_subcallosal,1000,0,0,0
rh_G_oc-temp_lat-fusifor,1000,0,0,0
rh_Lat_Fis-ant-Vertical,1000,0,0,0
rh_S_intrapariet_and_P_trans,1000,0,0,0
lh_G_parietal_sup,1000,0,0,0
rh_Lat_Fis-post,1000,0,0,0
rh_G_and_S_subcentral,1000,0,0,0
rh_G_temp_sup-G_T_transv,1000,0,0,0
rh_S_circular_insula_ant,1000,0,0,0
rh_G_cingul-Post-dorsal,1000,0,0,0
lh_S_precentral-sup-part,1000,0,0,0
lh_Lat_Fis-ant-Vertical,1000,0,0,0
lh_G_and_S_frontomargin,1003,0,2,1
rh_Pole_occipital,1003,2,0,3
lh_G_cuneus,1004,3,0,4
lh_G_temp_sup-Plan_polar,1005,0,0,5
rh_G_pariet_inf-Angular,1007,11,0,7
rh_S_temporal_inf,1008,0,0,8
rh_G_oc-temp_med-Parahip,1009,0,0,9
rh_S_oc-temp_lat,1009,0,3,6
